recorded_nomorPBS,recorded_namaAset,records,pbsCanonical,subsistemCanonical,namaAsetCanonical,unitLabel,note
1.1.1,Tanur,7,1.1.1,Struktur dan Lining Tanur,Tanur,,
1.1.1,Tanur A Kapasitas 10 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,A 10 Ton,
1.1.1,Tanur A Kapasitas 15 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,A 15 Ton,
1.1.1,Tanur A Kapasitas 18 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,A 18 Ton,
1.1.1,Tanur A Kapasitas 20 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,A 20 Ton,
1.1.1,Tanur B  Kapasitas 18 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,B 18 Ton,
1.1.1,Tanur B Kapasitas 10 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,B 10 Ton,
1.1.1,Tanur B Kapasitas 18 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,B 18 Ton,
1.1.1,Tanur B Kapasitas 20 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,B 20 Ton,
1.1.1,Tanur C Kapasitas 20 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,C 20 Ton,
1.1.1,Tanur Reverb Kapaistas 20 Ton,1,1.1.1,Struktur dan Lining Tanur,Tanur,Reverb 20 Ton,
1.1.2,Furnace Roof Tanur A,2,1.1.2,Struktur dan Lining Tanur,Tutup Tanur,Furnace Roof A,
1.1.2,Furnace Roof Tanur B,2,1.1.2,Struktur dan Lining Tanur,Tutup Tanur,Furnace Roof B,
1.1.2,Tutup Tanur,9,1.1.2,Struktur dan Lining Tanur,Tutup Tanur,,
1.2.1,Seattle Bawah Tanur,7,1.2.1,Sistem Penanganan Gas Buang dan Debu,Seattle Bawah Tanur,,
1.2.1,Settle Box 1 Tanur A,3,1.2.1,Sistem Penanganan Gas Buang dan Debu,Seattle Bawah Tanur,Settle Box 1 A,
1.2.1,Settle Box 1 Tanur B,4,1.2.1,Sistem Penanganan Gas Buang dan Debu,Seattle Bawah Tanur,Settle Box 1 B,
1.2.1,Settle Box 1 Tanur C,1,1.2.1,Sistem Penanganan Gas Buang dan Debu,Seattle Bawah Tanur,Settle Box 1 C,
1.2.1,Settle Box Tanur A,1,1.2.1,Sistem Penanganan Gas Buang dan Debu,Seattle Bawah Tanur,Settle Box A,
1.2.2,Seattle Atas Tanur,7,1.2.2,Sistem Penanganan Gas Buang dan Debu,Seattle Atas Tanur,,
1.2.3,Dust Collector,11,1.2.3,Sistem Penanganan Gas Buang dan Debu,Dust Collector,,
1.2.3,Dust Collector System Tanur A,1,1.2.3,Sistem Penanganan Gas Buang dan Debu,Dust Collector,System Tanur A,
1.2.3,Dust Collector System Tanur B,1,1.2.3,Sistem Penanganan Gas Buang dan Debu,Dust Collector,System Tanur B,
1.2.3,Dust Collector Tanur C,1,1.2.3,Sistem Penanganan Gas Buang dan Debu,Dust Collector,Tanur C,
1.2.4,Bag House,14,1.2.4,Sistem Penanganan Gas Buang dan Debu,Bag House,,
1.2.4,Bag House Tanur A,1,1.2.4,Sistem Penanganan Gas Buang dan Debu,Bag House,Tanur A,
1.2.4,Bag House Tanur B,1,1.2.4,Sistem Penanganan Gas Buang dan Debu,Bag House,Tanur B,
1.2.5,Blower Hisap,2,1.2.5,Sistem Penanganan Gas Buang dan Debu,Blower Hisap,,
1.2.6,Stack / Cerobong,10,1.2.6,Sistem Penanganan Gas Buang dan Debu,Stack / Cerobong,,
1.2.6,Stack/Cerobong Tanur A,4,1.2.6,Sistem Penanganan Gas Buang dan Debu,Stack / Cerobong,Tanur A,
1.2.6,Stack/Cerobong Tanur B,4,1.2.6,Sistem Penanganan Gas Buang dan Debu,Stack / Cerobong,Tanur B,
1.2.6,Stack/Cerobong Tanur C,1,1.2.6,Sistem Penanganan Gas Buang dan Debu,Stack / Cerobong,Tanur C,
1.3.1,Motor Gearbox Stang Elektroda,7,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,,
1.3.1,Motor Winc Stang Elecroda 1 Tanur A,1,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Winc 1 Tanur A,
1.3.1,Motor Winc Stang Elecroda 2 Tanur A,1,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Winc 2 Tanur A,
1.3.1,Motor Winc Stang Elecroda 3 Tanur A,1,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Winc 3 Tanur A,
1.3.1,Motorgearbox Stang Elecroda 1 Tanur A,3,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 1 Tanur A,
1.3.1,Motorgearbox Stang Elecroda 1 Tanur B,4,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 1 Tanur B,
1.3.1,Motorgearbox Stang Elecroda 1 Tanur C,1,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 1 Tanur C,
1.3.1,Motorgearbox Stang Elecroda 2 Tanur A,3,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 2 Tanur A,
1.3.1,Motorgearbox Stang Elecroda 2 Tanur B,4,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 2 Tanur B,
1.3.1,Motorgearbox Stang Elecroda 2 Tanur C,1,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 2 Tanur C,
1.3.1,Motorgearbox Stang Elecroda 3 Tanur A,3,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 3 Tanur A,
1.3.1,Motorgearbox Stang Elecroda 3 Tanur B,4,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 3 Tanur B,
1.3.1,Motorgearbox Stang Elecroda 3 Tanur C,1,1.3.1,Sistem Elektroda,Motor Gearbox Stang Elektroda,Motorgearbox 3 Tanur C,
1.3.2,Electrode Holder dan Contact Shoe,11,1.3.2,Sistem Elektroda,Electrode Holder dan Contact Shoe,,
1.4.1,Hoist Crane,15,1.4.1,Sistem Feeding / Charging,Hoist Crane,,
1.4.1,Hoistcrane 2 Ton 3,1,1.4.1,Sistem Feeding / Charging,Hoist Crane,2 Ton 3,
1.4.1,Hoistcrane 2.5 Ton 3.1,1,1.4.1,Sistem Feeding / Charging,Hoist Crane,2.5 Ton 3.1,
1.4.1,Hoistcrane 3 Ton Gudang,1,1.4.1,Sistem Feeding / Charging,Hoist Crane,3 Ton Gudang,
1.4.1,Hoistcrane 5 Ton 1,2,1.4.1,Sistem Feeding / Charging,Hoist Crane,5 Ton 1,
1.4.1,Hoistcrane 5 Ton 2,2,1.4.1,Sistem Feeding / Charging,Hoist Crane,5 Ton 2,
1.4.1,Hoistcrane 5 Ton Tanur 1,1,1.4.1,Sistem Feeding / Charging,Hoist Crane,5 Ton Tanur 1,
1.4.1,Hoistcrane 5 Ton Tanur Bawah,1,1.4.1,Sistem Feeding / Charging,Hoist Crane,5 Ton Tanur Bawah,
1.5.1,Trafo Step Down 1250 Kva 400v Tanur A,1,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,1250 Kva 400v A,
1.5.1,Trafo Step Down 1250 Kva 400v Tanur B,1,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,1250 Kva 400v B,
1.5.1,Trafo Step Down 800 Kva 400v - 110v Tanur C,1,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,800 Kva 400v 110v C,
1.5.1,Trafo Step Down 800kva 20kv - 110v Tanur A,1,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,800kva 20kv 110v A,
1.5.1,Trafo Step Down 800kva 20kv - 110v Tanur B,1,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,800kva 20kv 110v B,
1.5.1,Trafo Step Down Tanur,14,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,,
1.5.1,Trafo Tanur 400v Tanur B,1,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,400v B,
1.5.1,Trafo Tanur Tanur A,2,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,A,
1.5.1,Trafo Tanur Tanur B,1,1.5.1,Sistem Daya Tanur,Trafo Step Down Tanur,B,
1.3.3,Cubicle 20 kV Tanur A,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Cubicle 20 kV Tanur A,merged from 1.3.3
1.3.6,Cubicle 20 kV Tanur B,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Cubicle 20 kV Tanur B,merged from 1.3.6
1.3.9,Cubicle 20 kV Tanur C,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Cubicle 20 kV Tanur C,merged from 1.3.9
1.3.12,Cubicle 20 kV Tanur D,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Cubicle 20 kV Tanur D,merged from 1.3.12
1.3.15,Cubicle 20 kV Tanur E,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Cubicle 20 kV Tanur E,merged from 1.3.15
1.5.2,Cubicle Sistem Daya Tanur,2,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,,
1.5.2,Kubikel Switchgear 20kv Tanur A,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Switchgear 20kv A,
1.5.2,Kubikel Switchgear 20kv Tanur B,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Switchgear 20kv B,
1.5.2,Kubikel Switchgear 20kv Tanur C,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Switchgear 20kv C,
1.5.2,Panel ACB - Tanur 1,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Panel Acb 1,
1.5.2,Panel ACB - Tanur 2,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Panel Acb 2,
1.5.2,Panel ACB Trafo  Tanur A,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Panel Acb Trafo A,
1.5.2,Panel ACB Trafo Tanur A,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Panel Acb Trafo A,
1.5.2,Panel ACB Trafo Tanur B,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Panel Acb Trafo B,
1.5.2,Panel ACB Trafo Tanur Tanur B,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Panel Acb Trafo B,
1.5.2,Panel Kubikel Trafo Tanur A,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Panel Trafo A,
1.5.2,Panel Kubikel Trafo Tanur B,1,1.5.2,Sistem Daya Tanur,Cubicle Sistem Daya Tanur,Panel Trafo B,
1.5.3,Busbar / Bus Tube / Flexible Cable,16,1.5.3,Sistem Daya Tanur,Busbar / Bus Tube / Flexible Cable,,
1.5.3,Busbar Electroda 1 Tanur A,1,1.5.3,Sistem Daya Tanur,Busbar / Bus Tube / Flexible Cable,Electroda 1 Tanur A,
1.5.3,Busbar Electroda 1 Tanur B,1,1.5.3,Sistem Daya Tanur,Busbar / Bus Tube / Flexible Cable,Electroda 1 Tanur B,
1.5.3,Busbar Electroda 2 Tanur A,1,1.5.3,Sistem Daya Tanur,Busbar / Bus Tube / Flexible Cable,Electroda 2 Tanur A,
1.5.3,Busbar Electroda 2 Tanur B,1,1.5.3,Sistem Daya Tanur,Busbar / Bus Tube / Flexible Cable,Electroda 2 Tanur B,
1.5.3,Busbar Electroda 3 Tanur A,1,1.5.3,Sistem Daya Tanur,Busbar / Bus Tube / Flexible Cable,Electroda 3 Tanur A,
1.5.3,Busbar Electroda 3 Tanur B,1,1.5.3,Sistem Daya Tanur,Busbar / Bus Tube / Flexible Cable,Electroda 3 Tanur B,
1.6.1,Consule Tanur A,1,1.6.1,Sistem Kontrol dan Instrumentasi,Panel Consule Control,Tanur A,
1.6.1,Consule Tanur B,1,1.6.1,Sistem Kontrol dan Instrumentasi,Panel Consule Control,Tanur B,
1.6.1,Panel Consule Control,15,1.6.1,Sistem Kontrol dan Instrumentasi,Panel Consule Control,,
1.7.1,Water Jacket,5,1.7.1,Sistem Pendinginan Air,Water Jacket,,
1.7.2,Water Box,6,1.7.2,Sistem Pendinginan Air,Water Box,,
1.7.2,Water Box Tanur A,4,1.7.2,Sistem Pendinginan Air,Water Box,Tanur A,
1.7.2,Water Box Tanur B,3,1.7.2,Sistem Pendinginan Air,Water Box,Tanur B,
1.7.3,Pompa Sirkulasi Tanur A,1,1.7.3,Sistem Pendinginan Air,Pompa sirkulasi,Tanur A,
1.7.3,Pompa sirkulasi,5,1.7.3,Sistem Pendinginan Air,Pompa sirkulasi,,
1.8.1,Pneumatic system,5,1.8.1,Sistem Udara Bertekanan dan Sirkulasi Udara,Pneumatic system,,
1.8.1,System Pneumatic Tanur A,4,1.8.1,Sistem Udara Bertekanan dan Sirkulasi Udara,Pneumatic system,Tanur A,
1.8.1,System Pneumatic Tanur B,4,1.8.1,Sistem Udara Bertekanan dan Sirkulasi Udara,Pneumatic system,Tanur B,
1.8.1,System Pneumatic Tanur C,1,1.8.1,Sistem Udara Bertekanan dan Sirkulasi Udara,Pneumatic system,Tanur C,
1.8.2,Blower Tiup,1,1.8.2,Sistem Udara Bertekanan dan Sirkulasi Udara,Blower Tiup,,
1.9.2,Tapping Launder / Spout,11,1.9.2,Sistem Tapping Logam dan Slag,Tapping Launder / Spout,,
1.10.1,Prisma Pot,1,1.10.1,Sistem Penanganan Logam dan Slag Cair,Prisma Pot,,
1.10.2,Slag Caster,1,1.10.2,Sistem Penanganan Logam dan Slag Cair,Slag Caster,,
